,Fold,Corruption,Severity,LogLikelihood
554,6,spatter,2,-3726.37158203125
555,6,spatter,3,-3707.246337890625
556,6,spatter,4,-3698.71875
557,6,spatter,5,-3679.53076171875
558,6,speckle_noise,1,-3747.8544921875
559,6,speckle_noise,2,-3760.6328125
560,6,speckle_noise,3,-3769.573486328125
561,6,speckle_noise,4,-3786.872802734375
562,6,speckle_noise,5,-3811.0439453125
563,6,zoom_blur,1,-3777.129150390625
564,6,zoom_blur,2,-3774.884765625
565,6,zoom_blur,3,-3780.28955078125
566,6,zoom_blur,4,-3782.331298828125
567,6,zoom_blur,5,-3792.506103515625
568,7,brightness,1,-4785.50048828125
569,7,brightness,2,-4790.208984375
570,7,brightness,3,-4796.34228515625
571,7,brightness,4,-4801.53662109375
572,7,brightness,5,-4806.0712890625
573,7,contrast,1,-5698.3330078125
574,7,contrast,2,-7196.810546875
575,7,contrast,3,-7968.55029296875
576,7,contrast,4,-8779.041015625
577,7,contrast,5,-9830.6630859375
578,7,defocus_blur,1,-4821.32470703125
579,7,defocus_blur,2,-4876.90966796875
580,7,defocus_blur,3,-4923.23779296875
581,7,defocus_blur,4,-4952.31689453125
582,7,defocus_blur,5,-5029.59375
583,7,elastic,1,-4892.677734375
584,7,elastic,2,-4914.0341796875
585,7,elastic,3,-4932.52783203125
586,7,elastic,4,-4935.43212890625
587,7,elastic,5,-4944.744140625
588,7,fog,1,-4865.01806640625
589,7,fog,2,-5141.29736328125
590,7,fog,3,-5292.5205078125
591,7,fog,4,-5453.5615234375
592,7,fog,5,-5429.48828125
593,7,frost,1,-4930.11767578125
594,7,frost,2,-5117.10009765625
595,7,frost,3,-5359.724609375
596,7,frost,4,-5384.41748046875
597,7,frost,5,-5591.70947265625
598,7,frosted_glass_blur,1,-4808.3154296875
599,7,frosted_glass_blur,2,-4818.42822265625
600,7,frosted_glass_blur,3,-4879.22900390625
601,7,frosted_glass_blur,4,-4838.32861328125
602,7,frosted_glass_blur,5,-4907.29443359375
603,7,gaussian_blur,1,-4820.0517578125
604,7,gaussian_blur,2,-4924.30029296875
605,7,gaussian_blur,3,-4967.48876953125
606,7,gaussian_blur,4,-5008.7265625
607,7,gaussian_blur,5,-5092.8330078125
608,7,gaussian_noise,1,-4766.26171875
609,7,gaussian_noise,2,-4751.36328125
610,7,gaussian_noise,3,-4724.873046875
611,7,gaussian_noise,4,-4709.29443359375
612,7,gaussian_noise,5,-4695.615234375
613,7,impulse_noise,1,-4755.06298828125
614,7,impulse_noise,2,-4722.5234375
615,7,impulse_noise,3,-4700.42138671875
616,7,impulse_noise,4,-4656.353515625
617,7,impulse_noise,5,-4610.7568359375
618,7,jpeg_compression,1,-4785.5830078125
619,7,jpeg_compression,2,-4790.30859375
620,7,jpeg_compression,3,-4792.14697265625
621,7,jpeg_compression,4,-4793.908203125
622,7,jpeg_compression,5,-4793.580078125
623,7,motion_blur,1,-4886.65283203125
624,7,motion_blur,2,-4954.25341796875
625,7,motion_blur,3,-5016.9609375
626,7,motion_blur,4,-5019.3671875
627,7,motion_blur,5,-5088.3154296875
628,7,pixelate,1,-4799.94482421875
629,7,pixelate,2,-4817.3984375
630,7,pixelate,3,-4830.4140625
631,7,pixelate,4,-4838.72802734375
632,7,pixelate,5,-4884.50244140625
633,7,saturate,1,-4988.7119140625
634,7,saturate,2,-5029.96728515625
635,7,saturate,3,-4641.82568359375
636,7,saturate,4,-4396.38134765625
637,7,saturate,5,-4182.4541015625
638,7,shot_noise,1,-4781.7001953125
639,7,shot_noise,2,-4771.591796875
640,7,shot_noise,3,-4758.2314453125
641,7,shot_noise,4,-4745.36376953125
642,7,shot_noise,5,-4726.84716796875
643,7,snow,1,-4796.36181640625
644,7,snow,2,-4815.86083984375
645,7,snow,3,-4779.21435546875
646,7,snow,4,-4810.48876953125
647,7,snow,5,-4944.24951171875
648,7,spatter,1,-4771.91650390625
649,7,spatter,2,-4741.3359375
650,7,spatter,3,-4688.7666015625
651,7,spatter,4,-4662.181640625
652,7,spatter,5,-4597.712890625
653,7,speckle_noise,1,-4781.587890625
654,7,speckle_noise,2,-4773.35205078125
655,7,speckle_noise,3,-4764.654296875
656,7,speckle_noise,4,-4746.91748046875
657,7,speckle_noise,5,-4725.3505859375
658,7,zoom_blur,1,-4893.1396484375
659,7,zoom_blur,2,-4886.90234375
660,7,zoom_blur,3,-4901.775390625
661,7,zoom_blur,4,-4905.8818359375
662,7,zoom_blur,5,-4930.96044921875
663,8,brightness,1,-4228.47900390625
664,8,brightness,2,-4232.98583984375
665,8,brightness,3,-4239.39501953125
666,8,brightness,4,-4246.408203125
667,8,brightness,5,-4259.1962890625
668,8,contrast,1,-4796.43310546875
669,8,contrast,2,-5734.74658203125
670,8,contrast,3,-6219.30322265625
671,8,contrast,4,-6727.75341796875
672,8,contrast,5,-7383.021484375
673,8,defocus_blur,1,-4248.955078125
674,8,defocus_blur,2,-4281.95361328125
675,8,defocus_blur,3,-4309.95263671875
